OBJECTID_1,OBJECTID,County,Contae,Local_Gove,Limistéar,Classifica,Cineál,Gaeltacht,Town_Class,ID,English_Na,Irish_Name,Foirm_Ghin,Alternativ,IG_E,IG_N,ITM_E,ITM_N,Irish_Vali,Legislatio,Validated_,Date_,Comment_,x,y
1,1,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17001,AGHA,Achadh, , ,273158,165458,673093,665499,0,0,Fiontar,0, ,673093.0001,665499.0001
2,2,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17002,BALLINACARRIG,Baile na Carraige, , ,270876,172624,670811,672664,0,0,Fiontar,0, ,670811.0001,672664.0001
3,3,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17003,BALLINTEMPLE,Baile an Teampaill, , ,288298,167521,688229,667562,0,0,Fiontar,0, ,688229.0001,667562.0001
4,4,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17004,BALLON,Balana, , ,282316,164647,682249,664689,0,0,Fiontar,0, ,682249.0001,664689.0001
5,5,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17005,BALLYELLIN,Baile Eilín, , ,271289,153369,671224,653413,0,0,Fiontar,0, ,671224.0001,653413.0001
6,6,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17006,BALLYMOON,Baile Muáin, , ,273651,161168,673585,661210,0,0,Fiontar,0, ,673585.0001,661210.0001
7,7,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17007,BALLYMURPHY,Baile Uí Mhurchú, , ,278021,144377,677954,644423,0,0,Fiontar,0, ,677954.0001,644423.0001
8,8,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17008,BORRIS,An Bhuiríos, , ,272371,150071,672306,650116,0,0,Fiontar,0, ,672306.0001,650116.0001
9,9,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17009,BURTON HALL,Baile na Cille, , ,277539,179037,677473,679075,0,0,Fiontar,0, ,677473.0001,679075.0001
10,10,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17010,CARLOW RURAL,Ceatharlach (Tuath), , ,273116,178471,673051,678510,0,0,Fiontar,0, ,673051.0001,678510.0001
11,11,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17011,CARLOW URBAN,Ceatharlach (Uirbeach), , ,272221,176584,672156,676623,0,0,Fiontar,0, ,672156.0001,676623.0001
12,12,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17012,CLOGRENAN,Cloch Ghrianáin, , ,267342,171656,667278,671696,0,0,Fiontar,0, ,667278.0001,671696.0001
13,13,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17013,CLONEGALL,Cluain na nGall, , ,289656,161163,689587,661205,0,0,Fiontar,0, ,689587.0001,661205.0001
14,14,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17014,CLONMORE,Cluain Mhór, , ,295984,176559,695914,676598,0,0,Fiontar,0, ,695914.0001,676598.0001
15,15,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17015,COONOGUE,Cuanóg, , ,279867,147531,679800,647576,0,0,Fiontar,0, ,679800.0001,647576.0001
16,16,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17016,CORRIES,Na Coraí, , ,274186,157115,674120,657158,0,0,Fiontar,0, ,674120.0001,657158.0001
17,17,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17017,CRANEMORE,An Corrán Mór, , ,285654,156803,685586,656846,0,0,Fiontar,0, ,685586.0001,656846.0001
18,18,CARLOW,Ceatharlach,CARLOW, ,ED,T,N, ,17018,FENNAGH,Fionnmhach, , ,277236,163750,677170,663792,0,0,Fiontar,0, ,677170.0001,663792.0001
